root_id,cell_type
720575941461680454,LPC2
720575941461889747,L1
720575941462021331,L5
720575941462174916,Mi1
720575941462396115,L4
720575941462442948,L5
720575941462483667,T1
720575941462563283,L5
720575941462633485,L1
720575941462678739,T1
720575941462681043,L5
720575941462726355,L5
720575941462798276,R7
720575941462842067,LCNOp
720575941462842067,LHAV2g1a
720575941462941907,LC22
720575941462956499,"LAL103,LAL109"
720575941462956499,LHAV1b1
720575941463047891,LC10f
720575941463072144,R8
720575941463139268,L4
720575941463157956,L2
720575941463264708,L5
720575941463491085,L3
720575941463738256,T1
720575941464046605,R8
720575941464095888,"LAL111,PS060"
720575941464805133,R7
720575941465080333,L2
720575941465154573,LAL133a
720575941465154573,LAL197
720575941467317526,L5
720575941467448406,LAL156a
720575941467484438,Mi1
720575941467557206,L4
720575941467843158,L4
720575941467924957,L2
720575941467991382,MTe03
720575941468250966,R8
720575941468328278,L5
720575941468633408,L4
720575941468675862,T1
720575941469064905,L5
720575941469064905,LCe01b
720575941469189597,DNg02_c
720575941469237782,LHAV1d2
720575941469275670,R7
720575941469516822,LHAV3g1
720575941469762679,L5
720575941470228957,Mi1
720575941470295517,L4
720575941470609117,L3
720575941470610141,LHAV3e2
720575941470812637,LC14a1
720575941470964087,LLPC3
720575941470989175,L4
720575941471005047,R8
720575941471039453,LAL090
720575941471166941,LAL094
720575941471166941,R7
720575941471221469,L5
720575941471280861,LC9
720575941471290333,LAL143
720575941471290333,LAL150b
720575941471327453,L5
720575941471431901,LHAV2g1a
720575941471503680,Mi1
720575941471785536,L2
720575941471794240,R7
720575941471850251,T1
720575941472206455,L5
720575941472208247,L5
720575941472255499,R7
720575941472289856,L5
720575941472326007,L5
720575941472450880,L5
720575941472451959,L2
720575941472599616,LAL168a
720575941472611959,L4
720575941472956224,R8
720575941472995648,R8
720575941473038347,L5
720575941473058112,L5
720575941473090315,LAL110
720575941473135371,LAL181
720575941473140288,L2
720575941473140288,LAL117a
720575941473140288,LHAV2k10
720575941473217291,LHAV2g2_b
720575941473441066,L5
720575941474396512,R8
720575941474584928,L2
720575941474923050,DNpe019
720575941474934729,L5
720575941475106875,L5
720575941475510112,T1
720575941475517536,L4
720575941475653984,LHAV3e6
720575941475691104,LAL186
720575941475691104,LAL196
720575941475755835,LAL122
720575941475755835,LAL145
720575941476046651,LHAV1d2
720575941476046651,LHAV2g2_a
720575941476046651,T1
720575941476299306,LC21
720575941476315178,LHAD2e1
720575941476330026,LAL101
720575941476330026,LAL117a
720575941476341051,L4
720575941476990779,LAL165
720575941477107998,L5
720575941477452593,L2
720575941478097972,L5
720575941478120769,L1
720575941478178369,L4
720575941478207262,PLP069
720575941478444353,LAL094
720575941478444353,LAL130
720575941478448177,L4
720575941478530528,LC10c
720575941478601281,L2
720575941478629428,R8
720575941478658356,R7
720575941478797108,v2LN4
720575941478797108,vDeltaF
720575941478869354,L4
720575941478892418,L2
720575941478908225,R8
720575941478977857,R7
720575941479065921,LLPC3
720575941479195201,T1
720575941479222435,LC10b
720575941479344234,L3
720575941479889002,L5
720575941479943530,T1
720575941480005482,LHAV1a3
720575941480005482,LHAV1d2
720575941480061546,L5
720575941480135786,R7
720575941480285802,ALIN8
720575941480285802,vDeltaA_a
720575941480609219,R8
720575941481061344,L5
720575941481106400,L5
720575941481195232,L4
720575941481416672,L2
720575941481416672,LHAV2g2_b
720575941481514626,L2
720575941481514626,LHAV1a3
720575941481523363,L5
720575941481556354,T1
720575941481638342,L2
720575941481689568,T1
720575941481769696,LC10e
720575941481823456,LAL090
720575941481840258,L5
720575941482055075,L5
720575941482137986,LAL124
720575941482137986,LAL152
720575941482291875,L5
720575941482337187,L4
720575941482385999,Mi1
